NYSOFA County Code,County Name,Year,Meal Units Served,Meal Type
55,Westchester,1975,3033,Home Delivered Meals
56,Wyoming,1975,21756,Congregate Meals
56,Wyoming,1975,3022,Home Delivered Meals
60,New York City,1975,1765602,Congregate Meals
60,New York City,1975,338290,Home Delivered Meals
1,Albany,1976,91659,Congregate Meals
1,Albany,1976,12767,Home Delivered Meals
2,Allegany,1976,18635,Congregate Meals
2,Allegany,1976,8311,Home Delivered Meals
3,Broome,1976,124983,Congregate Meals
3,Broome,1976,21121,Home Delivered Meals
4,Cattaraugus,1976,41402,Congregate Meals
4,Cattaraugus,1976,3094,Home Delivered Meals
5,Cayuga,1976,41211,Congregate Meals
5,Cayuga,1976,6396,Home Delivered Meals
6,Chautauqua,1976,73388,Congregate Meals
6,Chautauqua,1976,10124,Home Delivered Meals
7,Chemung,1976,46760,Congregate Meals
7,Chemung,1976,5772,Home Delivered Meals
8,Chenango,1976,56141,Congregate Meals
8,Chenango,1976,11514,Home Delivered Meals
9,Clinton,1976,26866,Congregate Meals
9,Clinton,1976,932,Home Delivered Meals
11,Cortland,1976,42203,Congregate Meals
11,Cortland,1976,15491,Home Delivered Meals
12,Delaware,1976,35886,Congregate Meals
12,Delaware,1976,4738,Home Delivered Meals
13,Dutchess,1976,46256,Congregate Meals
13,Dutchess,1976,4049,Home Delivered Meals
14,Erie,1976,383472,Congregate Meals
14,Erie,1976,61729,Home Delivered Meals
15,Essex,1976,24427,Congregate Meals
15,Essex,1976,9250,Home Delivered Meals
16,Franklin,1976,62295,Congregate Meals
16,Franklin,1976,20057,Home Delivered Meals
17,Fulton,1976,16975,Congregate Meals
17,Fulton,1976,1114,Home Delivered Meals
18,Genesee,1976,2271,Congregate Meals
18,Genesee,1976,0,Home Delivered Meals
19,Greene,1976,62524,Congregate Meals
19,Greene,1976,15604,Home Delivered Meals
21,Herkimer,1976,32838,Congregate Meals
21,Herkimer,1976,3349,Home Delivered Meals
22,Jefferson,1976,33478,Congregate Meals
22,Jefferson,1976,4811,Home Delivered Meals
23,Lewis,1976,21099,Congregate Meals
23,Lewis,1976,10562,Home Delivered Meals
25,Madison,1976,33785,Congregate Meals
25,Madison,1976,3554,Home Delivered Meals
26,Monroe,1976,122623,Congregate Meals
26,Monroe,1976,8226,Home Delivered Meals
27,Montgomery,1976,50061,Congregate Meals
27,Montgomery,1976,8650,Home Delivered Meals
28,Nassau,1976,208136,Congregate Meals
28,Nassau,1976,30002,Home Delivered Meals
29,Niagara,1976,106266,Congregate Meals
29,Niagara,1976,54,Home Delivered Meals
30,Oneida,1976,119351,Congregate Meals
30,Oneida,1976,10569,Home Delivered Meals
31,Onondaga,1976,118798,Congregate Meals
31,Onondaga,1976,8413,Home Delivered Meals
32,Ontario,1976,20029,Congregate Meals
32,Ontario,1976,1790,Home Delivered Meals
33,Orange,1976,67153,Congregate Meals
33,Orange,1976,8395,Home Delivered Meals
35,Oswego,1976,28934,Congregate Meals
35,Oswego,1976,8133,Home Delivered Meals
36,Otsego,1976,42572,Congregate Meals
36,Otsego,1976,8016,Home Delivered Meals
37,Putnam,1976,10502,Congregate Meals
37,Putnam,1976,230,Home Delivered Meals
38,Rensselaer,1976,37993,Congregate Meals
38,Rensselaer,1976,35365,Home Delivered Meals
39,Rockland,1976,59822,Congregate Meals
39,Rockland,1976,3688,Home Delivered Meals
40,St. Lawrence,1976,42253,Congregate Meals
40,St. Lawrence,1976,6888,Home Delivered Meals
41,Saratoga,1976,45357,Congregate Meals
41,Saratoga,1976,8781,Home Delivered Meals
42,Schenectady,1976,53430,Congregate Meals
42,Schenectady,1976,35443,Home Delivered Meals
44,Schuyler,1976,11283,Congregate Meals
44,Schuyler,1976,113,Home Delivered Meals
45,Seneca,1976,24588,Congregate Meals
45,Seneca,1976,6118,Home Delivered Meals
46,Steuben,1976,29294,Congregate Meals
46,Steuben,1976,3627,Home Delivered Meals
47,Suffolk,1976,211622,Congregate Meals
